name,mean,count
La Estrella de Dimas,2.0,4
Michiko Restaurant Japones,2.0,3
Cabana Huasteca,2.0,2
Restaurante la Parroquia Potosina,2.0,2
Sirlone,2.0,2
la Cantina,2.0,2
la Cochinita Pibil Restaurante Yucateco,2.0,2
Restaurante la Estrella de Dima,2.0,1
Gordas de morales,1.8333333333333333,6
Sushi Itto,1.6666666666666667,3
Mariscos El Pescador,1.625,8
El Rincon de San Francisco,1.6,5
Restaurant Bar Hacienda los Martinez,1.5,4
Dominos Pizza,1.5,2
El Mundo de la Pasta,1.5,2
Restaurant Wu Zhuo Yi,1.5,2
Restaurante Bar El Gallinero,1.5,2
Restaurante Casa de las Flores,1.5,2
rockabilly ,1.5,2
puesto de tacos,1.3846153846153846,13
El Club,1.3333333333333333,3
Restaurant de Mariscos de Picon,1.3333333333333333,3
Restaurante El Reyecito,1.3333333333333333,3
Restaurante Versalles,1.3333333333333333,3
Preambulo Wifi Zone Cafe,1.25,4
pizza clasica,1.25,4
Tortas Locas Hipocampo,1.2142857142857142,14
Cafeteria y Restaurant El Pacifico,1.1428571428571428,7
Cafe Chaires,1.125,8
La Cantina Restaurante,1.125,8
Restaurant Oriental Express,1.1111111111111112,9
Restaurant la Chalita,1.1,10
La Posada del Virrey,1.0,6
Restaurante Pueblo Bonito,1.0,5
VIPS,1.0,5
La Virreina,1.0,4
El angel Restaurante,1.0,3
Hamburguesas Valle Dorado,1.0,3
KFC,1.0,3
Restaurante de Mariscos la Langosta,1.0,3
el lechon potosino ,1.0,3
Carls Jr,1.0,2
El Herradero Restaurante and Bar,1.0,2
Restaurante Alhondiga,1.0,2
Restaurante y Pescaderia Tampico,1.0,2
Tortas y hamburguesas el gordo,1.0,2
don burguers,1.0,2
la Estrella de Dimas,1.0,2
Restaurant El Muladar de Calzada,1.0,1
Restaurant los Compadres,1.0,1
Restaurante Tiberius,0.8888888888888888,9
Koye Sushi,0.8571428571428571,7
Gorditas Doa Gloria,0.8,10
la parroquia,0.8,5
Restaurante Marisco Sam,0.7777777777777778,9
los Toneles,0.75,4
Restaurante El Cielo Potosino,0.7142857142857143,7
Unicols Pizza,0.6666666666666666,6
El Rinc�n de San Francisco,0.6666666666666666,3
Restaurante Guerra,0.6666666666666666,3
Mcdonalds Parque Tangamanga,0.6,5
Luna Cafe,0.5,4
Restaurant Orizatlan,0.5,4
Restaurante la Gran Via,0.5,4
Cenaduria El Rincón de Tlaquepaque,0.5,2
Chaires,0.5,2
Restaurante 75,0.5,2
Restaurante Bar Fu-hao,0.5,2
Restaurante El Chivero S.A. de C.V.,0.42857142857142855,7
Abondance Restaurante Bar,0.3333333333333333,3
Hamburguesas saul,0.3333333333333333,3
La Fontana Pizza Restaurante and Cafe,0.3333333333333333,3
Restaurante la Cantina,0.0,1
